'Elapsed time','ECG'
'0:50.136',-0.335
'0:50.140',-0.362
'0:50.144',-0.385
'0:50.148',-0.352
'0:50.152',-0.315
'0:50.156',-0.310
'0:50.160',-0.323
'0:50.164',-0.282
'0:50.168',-0.297
'0:50.172',-0.312
'0:50.176',-0.315
'0:50.180',-0.278
'0:50.184',-0.273
'0:50.188',-0.207
'0:50.192',-0.207
'0:50.196',-0.113
'0:50.200',-0.125
'0:50.204',-0.095
'0:50.208',-0.075
'0:50.212',-0.125
'0:50.216',-0.098
'0:50.220',-0.050
'0:50.224',-0.048
'0:50.228',-0.075
'0:50.232',-0.050
'0:50.236',-0.077
'0:50.240',-0.100
'0:50.244',-0.113
'0:50.248',-0.133
'0:50.252',-0.070
'0:50.256',-0.100
'0:50.260',-0.128
'0:50.264',-0.083
'0:50.268',-0.107
'0:50.272',-0.122
'0:50.276',-0.125
'0:50.280',-0.113
'0:50.284',-0.122
'0:50.288',-0.145
'0:50.292',-0.075
'0:50.296',-0.085
'0:50.300',-0.107
'0:50.304',-0.098
'0:50.308',-0.150
'0:50.312',-0.150
'0:50.316',-0.152
'0:50.320',-0.102
'0:50.324',-0.122
'0:50.328',-0.090
'0:50.332',-0.095
'0:50.336',-0.113
'0:50.340',-0.125
'0:50.344',-0.160
'0:50.348',-0.163
'0:50.352',-0.128
'0:50.356',-0.145
'0:50.360',-0.163
'0:50.364',-0.113
'0:50.368',-0.095
'0:50.372',-0.150
'0:50.376',-0.177
'0:50.380',-0.212
'0:50.384',-0.150
'0:50.388',-0.190
'0:50.392',-0.177
'0:50.396',-0.170
'0:50.400',-0.188
'0:50.404',-0.182
'0:50.408',-0.195
'0:50.412',-0.203
'0:50.416',-0.210
'0:50.420',-0.228
'0:50.424',-0.220
'0:50.428',-0.195
'0:50.432',-0.207
'0:50.436',-0.210
'0:50.440',-0.228
'0:50.444',-0.200
'0:50.448',-0.247
'0:50.452',-0.237
'0:50.456',-0.245
'0:50.460',-0.225
'0:50.464',-0.215
'0:50.468',-0.225
'0:50.472',-0.245
'0:50.476',-0.290
'0:50.480',-0.233
'0:50.484',-0.247
'0:50.488',-0.237
'0:50.492',-0.263
'0:50.496',-0.247
'0:50.500',-0.228
'0:50.504',-0.237
'0:50.508',-0.258
'0:50.512',-0.297
'0:50.516',-0.235
'0:50.520',-0.233
'0:50.524',-0.275
'0:50.528',-0.228
'0:50.532',-0.233
'0:50.536',-0.263
'0:50.540',-0.258
'0:50.544',-0.273
'0:50.548',-0.285
'0:50.552',-0.285
'0:50.556',-0.275
'0:50.560',-0.278
'0:50.564',-0.265
'0:50.568',-0.258
'0:50.572',-0.270
'0:50.576',-0.270
'0:50.580',-0.273
'0:50.584',-0.278
'0:50.588',-0.270
'0:50.592',-0.265
'0:50.596',-0.215
'0:50.600',-0.237
'0:50.604',-0.247
'0:50.608',-0.275
'0:50.612',-0.287
'0:50.616',-0.275
'0:50.620',-0.263
'0:50.624',-0.263
'0:50.628',-0.212
'0:50.632',-0.265
'0:50.636',-0.250
'0:50.640',-0.253
'0:50.644',-0.245
'0:50.648',-0.250
'0:50.652',-0.263
'0:50.656',-0.240
'0:50.660',-0.228
'0:50.664',-0.245
'0:50.668',-0.250
'0:50.672',-0.247
'0:50.676',-0.275
'0:50.680',-0.265
'0:50.684',-0.270
'0:50.688',-0.265
'0:50.692',-0.237
'0:50.696',-0.235
'0:50.700',-0.228
'0:50.704',-0.275
'0:50.708',-0.240
'0:50.712',-0.275
'0:50.716',-0.250
'0:50.720',-0.240
'0:50.724',-0.210
'0:50.728',-0.220
'0:50.732',-0.212
'0:50.736',-0.170
'0:50.740',-0.215
'0:50.744',-0.203
'0:50.748',-0.237
'0:50.752',-0.150
'0:50.756',-0.150
'0:50.760',-0.140
'0:50.764',-0.115
'0:50.768',-0.133
'0:50.772',-0.160
'0:50.776',-0.138
'0:50.780',-0.158
'0:50.784',-0.140
'0:50.788',-0.115
'0:50.792',-0.115
'0:50.796',-0.107
'0:50.800',-0.122
'0:50.804',-0.122
'0:50.808',-0.113
'0:50.812',-0.135
'0:50.816',-0.122
'0:50.820',-0.145
'0:50.824',-0.145
'0:50.828',-0.140
'0:50.832',-0.147
'0:50.836',-0.163
'0:50.840',-0.177
'0:50.844',-0.182
'0:50.848',-0.182
'0:50.852',-0.147
'0:50.856',-0.133
'0:50.860',-0.128
'0:50.864',-0.095
'0:50.868',-0.095
'0:50.872',-0.102
'0:50.876',-0.083
'0:50.880',-0.102
'0:50.884',-0.037
'0:50.888',0.045
'0:50.892',0.147
'0:50.896',0.347
'0:50.900',0.585
'0:50.904',0.845
'0:50.908',1.195
'0:50.912',1.552
'0:50.916',1.857
'0:50.920',2.038
'0:50.924',2.135
'0:50.928',1.970
'0:50.932',1.627
'0:50.936',1.210
'0:50.940',0.750
'0:50.944',0.360
'0:50.948',0.085
'0:50.952',-0.025
'0:50.956',-0.120
'0:50.960',-0.147
'0:50.964',-0.128
'0:50.968',-0.128
'0:50.972',-0.212
'0:50.976',-0.212
'0:50.980',-0.225
'0:50.984',-0.247
'0:50.988',-0.247
'0:50.992',-0.250
'0:50.996',-0.275
'0:51.000',-0.278
'0:51.004',-0.287
'0:51.008',-0.295
'0:51.012',-0.302
'0:51.016',-0.297
'0:51.020',-0.312
'0:51.024',-0.328
'0:51.028',-0.300
'0:51.032',-0.325
'0:51.036',-0.345
'0:51.040',-0.340
'0:51.044',-0.372
'0:51.048',-0.328
'0:51.052',-0.357
'0:51.056',-0.362
'0:51.060',-0.340
'0:51.064',-0.307
'0:51.068',-0.328
'0:51.072',-0.345
'0:51.076',-0.370
'0:51.080',-0.347
'0:51.084',-0.328
'0:51.088',-0.315
'0:51.092',-0.282
'0:51.096',-0.300
'0:51.100',-0.302
'0:51.104',-0.357
'0:51.108',-0.340
'0:51.112',-0.362
'0:51.116',-0.312
'0:51.120',-0.320
'0:51.124',-0.323
'0:51.128',-0.275
'0:51.132',-0.282
'0:51.136',-0.340
'0:51.140',-0.320
'0:51.144',-0.347
'0:51.148',-0.347
'0:51.152',-0.335
'0:51.156',-0.312
'0:51.160',-0.287
'0:51.164',-0.287
'0:51.168',-0.315
'0:51.172',-0.312
'0:51.176',-0.340
'0:51.180',-0.345
'0:51.184',-0.300
'0:51.188',-0.300
'0:51.192',-0.320
'0:51.196',-0.287
'0:51.200',-0.290
'0:51.204',-0.300
'0:51.208',-0.325
'0:51.212',-0.333
'0:51.216',-0.325
'0:51.220',-0.310
'0:51.224',-0.310
'0:51.228',-0.278
'0:51.232',-0.275
'0:51.236',-0.323
'0:51.240',-0.287
'0:51.244',-0.258
'0:51.248',-0.235
'0:51.252',-0.212
'0:51.256',-0.175
'0:51.260',-0.150
'0:51.264',-0.087
'0:51.268',-0.087
'0:51.272',-0.083
'0:51.276',-0.095
'0:51.280',-0.075
'0:51.284',-0.077
'0:51.288',-0.025
'0:51.292',-0.028
'0:51.296',-0.022
'0:51.300',-0.045
'0:51.304',-0.045
'0:51.308',-0.083
'0:51.312',-0.090
'0:51.316',-0.083
'0:51.320',-0.107
'0:51.324',-0.083
'0:51.328',-0.077
'0:51.332',-0.070
'0:51.336',-0.122
'0:51.340',-0.120
'0:51.344',-0.122
'0:51.348',-0.152
'0:51.352',-0.140
'0:51.356',-0.107
'0:51.360',-0.087
'0:51.364',-0.100
'0:51.368',-0.098
'0:51.372',-0.135
'0:51.376',-0.128
'0:51.380',-0.133
'0:51.384',-0.138
'0:51.388',-0.163
'0:51.392',-0.113
'0:51.396',-0.145
'0:51.400',-0.107
'0:51.404',-0.128
'0:51.408',-0.128
'0:51.412',-0.172
'0:51.416',-0.163
'0:51.420',-0.150
'0:51.424',-0.172
'0:51.428',-0.150
'0:51.432',-0.152
'0:51.436',-0.158
'0:51.440',-0.198
'0:51.444',-0.177
'0:51.448',-0.215
'0:51.452',-0.228
'0:51.456',-0.177
'0:51.460',-0.175
'0:51.464',-0.215
'0:51.468',-0.200
'0:51.472',-0.200
'0:51.476',-0.223
'0:51.480',-0.273
'0:51.484',-0.240
'0:51.488',-0.223
'0:51.492',-0.215
'0:51.496',-0.240
'0:51.500',-0.200
'0:51.504',-0.250
'0:51.508',-0.247
'0:51.512',-0.240
'0:51.516',-0.250
'0:51.520',-0.278
'0:51.524',-0.233
'0:51.528',-0.237
'0:51.532',-0.250
'0:51.536',-0.253
'0:51.540',-0.275
'0:51.544',-0.290
'0:51.548',-0.282
'0:51.552',-0.273
'0:51.556',-0.240
'0:51.560',-0.275
'0:51.564',-0.270
'0:51.568',-0.297
'0:51.572',-0.278
'0:51.576',-0.310
'0:51.580',-0.282
'0:51.584',-0.270
'0:51.588',-0.275
'0:51.592',-0.247
'0:51.596',-0.253
'0:51.600',-0.275
'0:51.604',-0.253
'0:51.608',-0.287
'0:51.612',-0.307
'0:51.616',-0.297
'0:51.620',-0.290
'0:51.624',-0.260
'0:51.628',-0.307
'0:51.632',-0.260
'0:51.636',-0.273
'0:51.640',-0.307
'0:51.644',-0.278
'0:51.648',-0.333
'0:51.652',-0.310
'0:51.656',-0.300
'0:51.660',-0.240
'0:51.664',-0.290
'0:51.668',-0.270
'0:51.672',-0.273
'0:51.676',-0.295
'0:51.680',-0.275
'0:51.684',-0.315
'0:51.688',-0.302
'0:51.692',-0.290
'0:51.696',-0.297
'0:51.700',-0.300
'0:51.704',-0.275
'0:51.708',-0.312
'0:51.712',-0.328
'0:51.716',-0.323
'0:51.720',-0.282
'0:51.724',-0.282
'0:51.728',-0.273
'0:51.732',-0.282
'0:51.736',-0.270
'0:51.740',-0.270
'0:51.744',-0.300
'0:51.748',-0.295
'0:51.752',-0.287
'0:51.756',-0.290
'0:51.760',-0.258
'0:51.764',-0.253
'0:51.768',-0.307
'0:51.772',-0.290
'0:51.776',-0.287
'0:51.780',-0.290
'0:51.784',-0.290
'0:51.788',-0.265
'0:51.792',-0.275
'0:51.796',-0.235
'0:51.800',-0.260
'0:51.804',-0.215
'0:51.808',-0.228
'0:51.812',-0.265
'0:51.816',-0.215
'0:51.820',-0.185
'0:51.824',-0.200
'0:51.828',-0.233
'0:51.832',-0.140
'0:51.836',-0.172
'0:51.840',-0.195
'0:51.844',-0.185
'0:51.848',-0.165
'0:51.852',-0.210
'0:51.856',-0.165
'0:51.860',-0.172
'0:51.864',-0.158
'0:51.868',-0.182
'0:51.872',-0.200
'0:51.876',-0.223
'0:51.880',-0.258
'0:51.884',-0.258
'0:51.888',-0.215
'0:51.892',-0.200
'0:51.896',-0.175
'0:51.900',-0.212
'0:51.904',-0.198
'0:51.908',-0.160
'0:51.912',-0.150
'0:51.916',-0.195
'0:51.920',-0.158
'0:51.924',-0.147
'0:51.928',-0.065
'0:51.932',-0.065
'0:51.936',-0.015
'0:51.940',0.025
'0:51.944',0.087
'0:51.948',0.340
'0:51.952',0.623
'0:51.956',0.932
'0:51.960',1.370
'0:51.964',1.710
'0:51.968',2.027
'0:51.972',2.183
'0:51.976',2.132
'0:51.980',1.845
'0:51.984',1.403
'0:51.988',0.910
'0:51.992',0.537
'0:51.996',0.188
'0:52.000',-0.007
'0:52.004',-0.170
'0:52.008',-0.207
'0:52.012',-0.228
'0:52.016',-0.278
'0:52.020',-0.270
'0:52.024',-0.263
'0:52.028',-0.278
'0:52.032',-0.307
'0:52.036',-0.315
'0:52.040',-0.312
'0:52.044',-0.335
'0:52.048',-0.372
'0:52.052',-0.398
'0:52.056',-0.383
'0:52.060',-0.360
'0:52.064',-0.360
'0:52.068',-0.360
'0:52.072',-0.388
'0:52.076',-0.425
'0:52.080',-0.400
'0:52.084',-0.390
'0:52.088',-0.398
'0:52.092',-0.398
'0:52.096',-0.390
'0:52.100',-0.383
'0:52.104',-0.410
'0:52.108',-0.390
'0:52.112',-0.410
'0:52.116',-0.427
'0:52.120',-0.412
'0:52.124',-0.378
'0:52.128',-0.388
'0:52.132',-0.370
'0:52.136',-0.415
'0:52.140',-0.390
'0:52.144',-0.398
'0:52.148',-0.388
'0:52.152',-0.422
'0:52.156',-0.412
'0:52.160',-0.378
'0:52.164',-0.388
'0:52.168',-0.372
'0:52.172',-0.385
'0:52.176',-0.415
'0:52.180',-0.375
'0:52.184',-0.372
'0:52.188',-0.388
'0:52.192',-0.360
'0:52.196',-0.372
'0:52.200',-0.365
'0:52.204',-0.347
'0:52.208',-0.385
'0:52.212',-0.395
'0:52.216',-0.432
'0:52.220',-0.412
'0:52.224',-0.420
'0:52.228',-0.350
'0:52.232',-0.375
'0:52.236',-0.388
'0:52.240',-0.400
'0:52.244',-0.378
'0:52.248',-0.407
'0:52.252',-0.407
'0:52.256',-0.372
'0:52.260',-0.385
'0:52.264',-0.383
'0:52.268',-0.388
'0:52.272',-0.400
'0:52.276',-0.365
'0:52.280',-0.370
'0:52.284',-0.345
'0:52.288',-0.323
'0:52.292',-0.278
'0:52.296',-0.263
'0:52.300',-0.212
'0:52.304',-0.223
'0:52.308',-0.177
'0:52.312',-0.182
'0:52.316',-0.190
'0:52.320',-0.160
'0:52.324',-0.100
'0:52.328',-0.128
'0:52.332',-0.100
'0:52.336',-0.083
'0:52.340',-0.122
'0:52.344',-0.158
'0:52.348',-0.133
'0:52.352',-0.133
'0:52.356',-0.147
'0:52.360',-0.150
'0:52.364',-0.150
'0:52.368',-0.160
'0:52.372',-0.182
'0:52.376',-0.150
'0:52.380',-0.185
'0:52.384',-0.172
'0:52.388',-0.190
'0:52.392',-0.182
'0:52.396',-0.188
'0:52.400',-0.198
'0:52.404',-0.207
'0:52.408',-0.190
'0:52.412',-0.220
'0:52.416',-0.200
'0:52.420',-0.212
'0:52.424',-0.198
'0:52.428',-0.207
'0:52.432',-0.182
'0:52.436',-0.175
'0:52.440',-0.212
'0:52.444',-0.233
'0:52.448',-0.225
'0:52.452',-0.220
'0:52.456',-0.212
'0:52.460',-0.185
'0:52.464',-0.195
'0:52.468',-0.210
'0:52.472',-0.212
'0:52.476',-0.240
'0:52.480',-0.207
'0:52.484',-0.228
'0:52.488',-0.263
'0:52.492',-0.233
'0:52.496',-0.253
'0:52.500',-0.235
'0:52.504',-0.260
'0:52.508',-0.263
'0:52.512',-0.315
'0:52.516',-0.270
'0:52.520',-0.258
'0:52.524',-0.263
'0:52.528',-0.275
'0:52.532',-0.237
'0:52.536',-0.278
'0:52.540',-0.285
'0:52.544',-0.282
'0:52.548',-0.328
'0:52.552',-0.300
'0:52.556',-0.285
'0:52.560',-0.278
'0:52.564',-0.307
'0:52.568',-0.312
'0:52.572',-0.300
'0:52.576',-0.310
'0:52.580',-0.323
'0:52.584',-0.338
'0:52.588',-0.290
'0:52.592',-0.273
'0:52.596',-0.297
'0:52.600',-0.295
'0:52.604',-0.320
'0:52.608',-0.320
'0:52.612',-0.340
'0:52.616',-0.328
'0:52.620',-0.312
'0:52.624',-0.295
'0:52.628',-0.307
'0:52.632',-0.307
'0:52.636',-0.300
'0:52.640',-0.347
'0:52.644',-0.357
'0:52.648',-0.328
'0:52.652',-0.300
'0:52.656',-0.312
'0:52.660',-0.307
'0:52.664',-0.270
'0:52.668',-0.325
'0:52.672',-0.328
'0:52.676',-0.323
'0:52.680',-0.352
'0:52.684',-0.370
'0:52.688',-0.350
'0:52.692',-0.307
'0:52.696',-0.312
'0:52.700',-0.285
'0:52.704',-0.338
'0:52.708',-0.312
'0:52.712',-0.340
'0:52.716',-0.302
'0:52.720',-0.312
'0:52.724',-0.307
'0:52.728',-0.265
'0:52.732',-0.295
'0:52.736',-0.297
'0:52.740',-0.300
'0:52.744',-0.350
'0:52.748',-0.352
'0:52.752',-0.312
'0:52.756',-0.307
'0:52.760',-0.328
'0:52.764',-0.312
'0:52.768',-0.315
'0:52.772',-0.302
'0:52.776',-0.315
'0:52.780',-0.297
'0:52.784',-0.323
'0:52.788',-0.312
'0:52.792',-0.307
'0:52.796',-0.260
'0:52.800',-0.320
'0:52.804',-0.300
'0:52.808',-0.307
'0:52.812',-0.315
'0:52.816',-0.357
'0:52.820',-0.307
'0:52.824',-0.287
'0:52.828',-0.282
'0:52.832',-0.275
'0:52.836',-0.263
'0:52.840',-0.297
'0:52.844',-0.333
'0:52.848',-0.312
'0:52.852',-0.290
'0:52.856',-0.285
'0:52.860',-0.263
'0:52.864',-0.215
'0:52.868',-0.195
'0:52.872',-0.235
'0:52.876',-0.223
'0:52.880',-0.240
'0:52.884',-0.220
'0:52.888',-0.247
'0:52.892',-0.190
'0:52.896',-0.182
'0:52.900',-0.188
'0:52.904',-0.170
'0:52.908',-0.145
'0:52.912',-0.215
'0:52.916',-0.188
'0:52.920',-0.185
'0:52.924',-0.160
'0:52.928',-0.135
'0:52.932',-0.160
'0:52.936',-0.172
'0:52.940',-0.203
'0:52.944',-0.210
'0:52.948',-0.233
'0:52.952',-0.207
'0:52.956',-0.207
'0:52.960',-0.212
'0:52.964',-0.220
'0:52.968',-0.207
'0:52.972',-0.228
'0:52.976',-0.220
'0:52.980',-0.195
'0:52.984',-0.215
'0:52.988',-0.188
'0:52.992',-0.172
'0:52.996',-0.128
'0:53.000',-0.140
'0:53.004',-0.152
'0:53.008',-0.140
'0:53.012',-0.120
'0:53.016',-0.135
'0:53.020',-0.077
'0:53.024',0.098
'0:53.028',0.273
'0:53.032',0.525
'0:53.036',0.895
'0:53.040',1.350
'0:53.044',1.750
'0:53.048',2.025
'0:53.052',2.050
'0:53.056',1.823
'0:53.060',1.302
'0:53.064',0.795
'0:53.068',0.352
'0:53.072',0.028
'0:53.076',-0.250
'0:53.080',-0.250
'0:53.084',-0.270
'0:53.088',-0.215
'0:53.092',-0.195
'0:53.096',-0.190
'0:53.100',-0.245
'0:53.104',-0.245
'0:53.108',-0.275
'0:53.112',-0.307
'0:53.116',-0.323
'0:53.120',-0.323
'0:53.124',-0.300
'0:53.128',-0.307
'0:53.132',-0.328
'0:53.136',-0.312
'0:53.140',-0.333
'0:53.144',-0.340
'0:53.148',-0.383
'0:53.152',-0.365
'0:53.156',-0.345
'0:53.160',-0.345
'0:53.164',-0.340
'0:53.168',-0.335
'0:53.172',-0.375
'0:53.176',-0.398
'0:53.180',-0.372
'0:53.184',-0.370
'0:53.188',-0.370
'0:53.192',-0.312
'0:53.196',-0.390
'0:53.200',-0.362
'0:53.204',-0.352
'0:53.208',-0.375
'0:53.212',-0.375
'0:53.216',-0.362
'0:53.220',-0.362
'0:53.224',-0.340
'0:53.228',-0.300
'0:53.232',-0.328
'0:53.236',-0.333
'0:53.240',-0.365
'0:53.244',-0.378
'0:53.248',-0.388
'0:53.252',-0.360
'0:53.256',-0.338
'0:53.260',-0.333
'0:53.264',-0.345
'0:53.268',-0.325
'0:53.272',-0.357
'0:53.276',-0.335
'0:53.280',-0.347
'0:53.284',-0.328
'0:53.288',-0.347
'0:53.292',-0.362
'0:53.296',-0.340
'0:53.300',-0.315
'0:53.304',-0.357
'0:53.308',-0.333
'0:53.312',-0.347
'0:53.316',-0.323
'0:53.320',-0.328
'0:53.324',-0.300
'0:53.328',-0.302
'0:53.332',-0.325
'0:53.336',-0.362
'0:53.340',-0.345
'0:53.344',-0.352
'0:53.348',-0.388
'0:53.352',-0.350
'0:53.356',-0.315
'0:53.360',-0.335
'0:53.364',-0.333
'0:53.368',-0.347
'0:53.372',-0.312
'0:53.376',-0.345
'0:53.380',-0.300
'0:53.384',-0.307
'0:53.388',-0.250
'0:53.392',-0.260
'0:53.396',-0.220
'0:53.400',-0.225
'0:53.404',-0.163
'0:53.408',-0.147
'0:53.412',-0.140
'0:53.416',-0.083
'0:53.420',-0.072
'0:53.424',-0.048
'0:53.428',-0.048
'0:53.432',-0.037
'0:53.436',-0.058
'0:53.440',-0.050
'0:53.444',-0.062
'0:53.448',-0.085
'0:53.452',-0.077
'0:53.456',-0.065
'0:53.460',-0.095
'0:53.464',-0.095
'0:53.468',-0.048
'0:53.472',-0.087
'0:53.476',-0.098
'0:53.480',-0.110
'0:53.484',-0.140
'0:53.488',-0.128
'0:53.492',-0.100
'0:53.496',-0.120
'0:53.500',-0.147
'0:53.504',-0.107
'0:53.508',-0.175
'0:53.512',-0.128
'0:53.516',-0.152
'0:53.520',-0.147
'0:53.524',-0.120
'0:53.528',-0.110
'0:53.532',-0.122
'0:53.536',-0.135
'0:53.540',-0.158
'0:53.544',-0.163
'0:53.548',-0.182
'0:53.552',-0.145
'0:53.556',-0.128
'0:53.560',-0.158
'0:53.564',-0.140
'0:53.568',-0.125
'0:53.572',-0.163
'0:53.576',-0.170
'0:53.580',-0.182
'0:53.584',-0.135
'0:53.588',-0.185
'0:53.592',-0.158
'0:53.596',-0.160
'0:53.600',-0.170
'0:53.604',-0.163
'0:53.608',-0.223
'0:53.612',-0.203
'0:53.616',-0.207
'0:53.620',-0.228
'0:53.624',-0.207
'0:53.628',-0.177
'0:53.632',-0.188
'0:53.636',-0.223
'0:53.640',-0.223
'0:53.644',-0.223
'0:53.648',-0.250
'0:53.652',-0.215
'0:53.656',-0.195
'0:53.660',-0.200
'0:53.664',-0.212
'0:53.668',-0.245
'0:53.672',-0.240
'0:53.676',-0.250
'0:53.680',-0.258
'0:53.684',-0.245
'0:53.688',-0.235
'0:53.692',-0.215
'0:53.696',-0.207
'0:53.700',-0.207
'0:53.704',-0.235
'0:53.708',-0.247
'0:53.712',-0.270
'0:53.716',-0.285
'0:53.720',-0.263
'0:53.724',-0.233
'0:53.728',-0.200
'0:53.732',-0.253
'0:53.736',-0.258
'0:53.740',-0.287
'0:53.744',-0.278
'0:53.748',-0.285
'0:53.752',-0.235
'0:53.756',-0.260
'0:53.760',-0.253
'0:53.764',-0.285
'0:53.768',-0.245
'0:53.772',-0.275
'0:53.776',-0.253
'0:53.780',-0.278
'0:53.784',-0.270
'0:53.788',-0.235
'0:53.792',-0.263
'0:53.796',-0.215
'0:53.800',-0.278
'0:53.804',-0.253
'0:53.808',-0.297
'0:53.812',-0.278
'0:53.816',-0.258
'0:53.820',-0.265
'0:53.824',-0.235
'0:53.828',-0.235
'0:53.832',-0.212
'0:53.836',-0.273
'0:53.840',-0.250
'0:53.844',-0.295
'0:53.848',-0.265
'0:53.852',-0.273
'0:53.856',-0.247
'0:53.860',-0.233
'0:53.864',-0.240
'0:53.868',-0.240
'0:53.872',-0.263
'0:53.876',-0.265
'0:53.880',-0.265
'0:53.884',-0.210
'0:53.888',-0.260
'0:53.892',-0.220
'0:53.896',-0.247
'0:53.900',-0.210
'0:53.904',-0.247
'0:53.908',-0.237
'0:53.912',-0.278
'0:53.916',-0.233
'0:53.920',-0.210
'0:53.924',-0.200
'0:53.928',-0.190
'0:53.932',-0.200
'0:53.936',-0.182
'0:53.940',-0.177
'0:53.944',-0.203
'0:53.948',-0.210
'0:53.952',-0.188
'0:53.956',-0.160
'0:53.960',-0.158
'0:53.964',-0.125
'0:53.968',-0.128
'0:53.972',-0.147
'0:53.976',-0.158
'0:53.980',-0.138
'0:53.984',-0.115
'0:53.988',-0.138
'0:53.992',-0.107
'0:53.996',-0.128
'0:54.000',-0.115
'0:54.004',-0.140
'0:54.008',-0.150
'0:54.012',-0.190
'0:54.016',-0.203
'0:54.020',-0.182
'0:54.024',-0.188
'0:54.028',-0.158
'0:54.032',-0.172
'0:54.036',-0.175
'0:54.040',-0.198
'0:54.044',-0.182
'0:54.048',-0.182
'0:54.052',-0.172
'0:54.056',-0.158
'0:54.060',-0.125
'0:54.064',-0.095
'0:54.068',-0.107
'0:54.072',-0.100
'0:54.076',-0.085
'0:54.080',0.052
'0:54.084',0.270
'0:54.088',0.573
'0:54.092',1.012
'0:54.096',1.495
'0:54.100',1.860
'0:54.104',2.085
'0:54.108',1.975
'0:54.112',1.633
'0:54.116',1.185
'0:54.120',0.647
'0:54.124',0.270
'0:54.128',-0.013
'0:54.132',-0.147
'0:54.136',-0.198
'0:54.140',-0.215
'0:54.144',-0.237
'0:54.148',-0.225
'0:54.152',-0.188
'0:54.156',-0.188
'0:54.160',-0.210
'0:54.164',-0.235
'0:54.168',-0.245
'0:54.172',-0.282
'0:54.176',-0.300
'0:54.180',-0.307
'0:54.184',-0.287
'0:54.188',-0.290
'0:54.192',-0.290
'0:54.196',-0.312
'0:54.200',-0.302
'0:54.204',-0.312
'0:54.208',-0.333
'0:54.212',-0.370
'0:54.216',-0.360
'0:54.220',-0.345
'0:54.224',-0.333
'0:54.228',-0.290
'0:54.232',-0.312
'0:54.236',-0.325
'0:54.240',-0.360
'0:54.244',-0.350
'0:54.248',-0.375
'0:54.252',-0.395
'0:54.256',-0.378
'0:54.260',-0.312
'0:54.264',-0.335
'0:54.268',-0.328
'0:54.272',-0.345
'0:54.276',-0.375
'0:54.280',-0.365
'0:54.284',-0.357
'0:54.288',-0.352
'0:54.292',-0.372
'0:54.296',-0.307
'0:54.300',-0.335
'0:54.304',-0.335
'0:54.308',-0.347
'0:54.312',-0.350
'0:54.316',-0.350
'0:54.320',-0.338
'0:54.324',-0.307
'0:54.328',-0.312
'0:54.332',-0.328
'0:54.336',-0.307
'0:54.340',-0.323
'0:54.344',-0.365
'0:54.348',-0.352
'0:54.352',-0.335
'0:54.356',-0.338
'0:54.360',-0.323
'0:54.364',-0.320
'0:54.368',-0.323
'0:54.372',-0.315
'0:54.376',-0.370
'0:54.380',-0.375
'0:54.384',-0.325
'0:54.388',-0.347
'0:54.392',-0.338
'0:54.396',-0.323
'0:54.400',-0.310
'0:54.404',-0.312
'0:54.408',-0.325
'0:54.412',-0.328
'0:54.416',-0.312
'0:54.420',-0.307
'0:54.424',-0.295
'0:54.428',-0.287
'0:54.432',-0.228
'0:54.436',-0.220
'0:54.440',-0.207
'0:54.444',-0.177
'0:54.448',-0.158
'0:54.452',-0.165
'0:54.456',-0.138
'0:54.460',-0.077
'0:54.464',-0.033
'0:54.468',-0.050
'0:54.472',-0.075
'0:54.476',-0.087
'0:54.480',-0.087
'0:54.484',-0.048
'0:54.488',-0.087
'0:54.492',-0.077
'0:54.496',-0.075
'0:54.500',-0.075
'0:54.504',-0.120
'0:54.508',-0.160
'0:54.512',-0.150
'0:54.516',-0.152
'0:54.520',-0.165
'0:54.524',-0.152
'0:54.528',-0.150
'0:54.532',-0.133
'0:54.536',-0.163
'0:54.540',-0.182
'0:54.544',-0.185
'0:54.548',-0.177
'0:54.552',-0.198
'0:54.556',-0.150
'0:54.560',-0.160
'0:54.564',-0.152
'0:54.568',-0.160
'0:54.572',-0.170
'0:54.576',-0.212
'0:54.580',-0.177
'0:54.584',-0.185
'0:54.588',-0.215
'0:54.592',-0.190
'0:54.596',-0.198
'0:54.600',-0.165
'0:54.604',-0.200
'0:54.608',-0.223
'0:54.612',-0.207
'0:54.616',-0.225
'0:54.620',-0.220
'0:54.624',-0.225
'0:54.628',-0.220
'0:54.632',-0.215
'0:54.636',-0.220
'0:54.640',-0.253
'0:54.644',-0.215
'0:54.648',-0.228
'0:54.652',-0.263
'0:54.656',-0.215
'0:54.660',-0.233
'0:54.664',-0.247
'0:54.668',-0.258
'0:54.672',-0.260
'0:54.676',-0.285
'0:54.680',-0.260
'0:54.684',-0.253
'0:54.688',-0.290
'0:54.692',-0.290
'0:54.696',-0.278
'0:54.700',-0.233
'0:54.704',-0.282
'0:54.708',-0.307
'0:54.712',-0.325
'0:54.716',-0.290
'0:54.720',-0.295
'0:54.724',-0.270
'0:54.728',-0.258
'0:54.732',-0.250
'0:54.736',-0.290
'0:54.740',-0.285
'0:54.744',-0.287
'0:54.748',-0.282
'0:54.752',-0.323
'0:54.756',-0.285
'0:54.760',-0.287
'0:54.764',-0.285
'0:54.768',-0.325
'0:54.772',-0.328
'0:54.776',-0.338
'0:54.780',-0.325
'0:54.784',-0.300
'0:54.788',-0.333
'0:54.792',-0.307
'0:54.796',-0.320
'0:54.800',-0.285
'0:54.804',-0.315
'0:54.808',-0.323
'0:54.812',-0.347
